CQ_ID,Refactored CQ,Answer,Concrete Answer,Beats (normalized list),RetrievalMode,,,,,
CQ-E1,What kind of event was [Event]?,[Event] was a global benefit concert held to raise funds for humanitarian relief.,Live Aid was a global benefit concert held to raise funds for humanitarian relief.,"['Introduction', 'Context Setup', 'Historical Hook']",KG,,,,,
CQ-E2,Why was [Event] organized?,[Event] was organized to raise funds for famine relief in Ethiopia.,Live Aid was organized to raise funds for famine relief in Ethiopia.,"['Introduction', 'Context Setup', 'Historical Hook']",KG,,,,,
CQ-E3,Which [MusicGroup] performed at [Event] held at [Venue]?,"[Venue] featured performances by artists such as [Artist1], [Artist2], and [Artist3] during [Event].",Queen performed at Live Aid held at Wembley Stadium.,"['Context Setup', 'Historical Hook']",KG,,,,,
CQ-E4,Which [MusicGroup] performed during [Event]?,"Artists who performed during [Event] include [Artist1], [Artist2], and [Artist3].",Queen performed during Live Aid.,"['Context Setup', 'Historical Hook']",KG,,,,,
CQ-E5,Which city or country hosted [Event]?,"[Event] was hosted in cities such as [City1], [City2], and countries including [Country1], [Country2].","London, UK and Philadelphia, USA hosted Live Aid.","['Context Setup', 'Historical Hook']",KG,,,,,
CQ-E6,Which venue hosted [Event]?,[Event] was hosted at venues such as [Venue1] and [Venue2].,Wembley Stadium hosted Live Aid.,"['Context Setup', 'Historical Hook']",KG,,,,,
CQ-E7,What role did television and media coverage play in [Event]?,"[Event] was broadcast worldwide via television and radio, expanding its global impact.","Live Aid was broadcast worldwide via television and radio, expanding its global impact.","['Context Setup', 'Historical Hook']",KG,,,,,
CQ-E9,Which performance at [Event] is considered iconic?,[Performance] by [MusicGroup] at [Venue] during [Event] is widely considered iconic.,Queen's performance at Wembley during Live Aid is widely considered iconic.,"['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-E10,Which song did [MusicGroup] perform at [Event]?,"[MusicGroup] performed a medley including [Song1], [Song2], and [Song3] at [Event].","Queen performed 'Bohemian Rhapsody', 'Radio Ga Ga', and 'We Are the Champions' at Live Aid.","['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-E11,When did [SingleArtist] debut?,[SingleArtist] debuted in [Year] with a performance or release in [City/Country].,Madonna debuted in 1982 with a performance in New York City.,"['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-E12,When was [MusicGroup] formed?,[MusicGroup] was formed in [Year] in [City/Country].,"Queen was formed in 1970 in London, UK.","['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-E12b,When and where was [Artist] born?,[Artist] was born in [Year] in [City/Country].,"Madonna was born 1964 in US","['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-E13,Who were the members of [MusicGroup]?,"[MusicGroup] included members such as [Member1], [Member2], and [Member3].","Queen included Freddie Mercury, Brian May, Roger Taylor, and John Deacon.","['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-E14,Who were the solo artists that performed at [Event]?,"Solo artists who performed at [Event] included [Artist1], [Artist2], and [Artist3].","Solo artists who performed at Live Aid included Madonna, Elton John, and David Bowie.","['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
