CQ_ID,Unnamed: 1,Refactored CQ,Answer,Concrete Answer,Source,Design Pattern,Randomizable,Persona,Category,Beats
CQ-E1,,What kind of event was [Event]?,[Event] was a global benefit concert held to raise funds for humanitarian relief.,Live Aid was a global benefit concert held to raise funds for humanitarian relief.,Wikipedia,Event Type Pattern (schema:Event),False,Emma,Entry,"Context Setup, Historical Hook"
CQ-E2,,Why was [Event] organized?,[Event] was organized to raise funds for famine relief in Ethiopia.,Live Aid was organized to raise funds for famine relief in Ethiopia.,BBC,Event–Purpose Pattern (schema:about),False,Emma,Entry,"Context Setup, Historical Hook"
CQ-E3,,Which [MusicGroup] performed at [Event] held at [Venue]?,"[Venue] featured performances by artists such as [Artist1], [Artist2], and [Artist3] during [Event].",Queen performed at Live Aid held at Wembley Stadium.,Wikipedia / MusicBrainz,Composite Event Pattern (schema:MusicEvent → location → performer),True,Emma,Entry,"Context Setup, Historical Hook"
CQ-E4,,Which [MusicGroup] performed during [Event]?,"Artists who performed during [Event] include [Artist1], [Artist2], and [Artist3].",Queen performed during Live Aid.,Wikipedia / MusicBrainz,Composite Event Pattern (schema:Event → subEvent → performer),True,Emma,Entry,"Context Setup, Historical Hook"
CQ-E5,,Which city or country hosted [Event]?,"[Event] was hosted in cities such as [City1], [City2], and countries including [Country1], [Country2].","London, UK and Philadelphia, USA hosted Live Aid.",Wikipedia,Event–Location Pattern (schema:Event → location → Place),False,Emma,Entry,"Context Setup, Historical Hook"
CQ-E6,,Which venue hosted [Event]?,[Event] was hosted at venues such as [Venue1] and [Venue2].,Wembley Stadium hosted Live Aid.,Wikipedia,Event–Location Pattern (schema:Event → location → Place),False,Emma,Entry,"Context Setup, Historical Hook"
CQ-E7,,What role did television and media coverage play in [Event]?,"[Event] was broadcast worldwide via television and radio, expanding its global impact.","Live Aid was broadcast worldwide via television and radio, expanding its global impact.",BBC / Wikipedia,Event–MediaReach Pattern (schema:BroadcastEvent → broadcastOfEvent),False,Emma,Entry,"Context Setup, Historical Hook"
CQ-E8,,Who organized [Event]?,[Event] was organized by [Person1] and [Person2].,Live Aid was organized by Bob Geldof and Midge Ure.,Wikipedia / BBC,Event–Agent Pattern (schema:organizer → Person),True,Emma,Entry,"Context Setup, Historical Hook"
CQ-E9,,Which performance at [Event] is considered iconic?,[Performance] by [MusicGroup] at [Venue] during [Event] is widely considered iconic.,Queen's performance at Wembley during Live Aid is widely considered iconic.,BBC / Rolling Stone / Wikipedia,"Performance Entity Pattern (schema:Event → subEvent → MusicEvent → performer, track, review, location, mainEntityOfPage)",True,Emma,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-E10,,Which song did [MusicGroup] perform at [Event]?,"[MusicGroup] performed a medley including [Song1], [Song2], and [Song3] at [Event].","Queen performed 'Bohemian Rhapsody', 'Radio Ga Ga', and 'We Are the Champions' at Live Aid.",MusicBrainz / Setlist.fm,"Performance–Setlist Pattern (schema:MusicEvent, schema:track)",True,Emma,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-E11,,When did [SingleArtist] debut?,[SingleArtist] debuted in [Year] with a performance or release in [City/Country].,Madonna debuted in 1982 with a performance in New York City.,Wikipedia / MusicBrainz / Discogs,"Artist–Debut Pattern (schema:MusicGroup or schema:Person → schema:startDate, schema:location)",True,Emma,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-E12,,When was [MusicGroup] formed?,[MusicGroup] was formed in [Year] in [City/Country].,"Queen was formed in 1970 in London, UK.",Wikipedia / MusicBrainz,Artist–Formation Pattern (schema:MusicGroup → foundingDate),True,Emma,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-E13,,Who were the members of [MusicGroup]?,"[MusicGroup] included members such as [Member1], [Member2], and [Member3].","Queen included Freddie Mercury, Brian May, Roger Taylor, and John Deacon.",Wikipedia / Discogs,Group Membership Pattern (schema:MusicGroup → member),True,Emma,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-E14,,Who were the solo artists that performed at [Event]?,"Solo artists who performed at [Event] included [Artist1], [Artist2], and [Artist3].","Solo artists who performed at Live Aid included Madonna, Elton John, and David Bowie.",Wikipedia / MusicBrainz,Event–Artist Role Filter (performer rdf:type = schema:Person),True,Emma,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-E15,,What genre are associated with [MusicGroup]?,"[MusicGroup] is associated with genres such as [Genre1], [Genre2], and [Genre3].","Queen is associated with rock, hard rock, and glam rock.",Wikipedia / AllMusic,Artist–Genre Pattern (schema:genre),True,Emma,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-E16,,What enabled the global broadcast of [Event]?,[Event] was broadcast globally via satellite uplinks and international television networks.,Live Aid was broadcast globally via satellite uplinks and television networks.,BBC / Wikipedia,Event–Distribution Pattern (schema:BroadcastEvent),False,Emma,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-E17,,What were the challenges in organizing [Event]?,"Coordinating two venues, artist schedules, and live global broadcasts presented logistical and technical challenges.","Coordinating two venues, artist schedules, and live global broadcasts presented logistical and technical challenges.",BBC Interviews / Event retrospectives,"Event–OrganizationalChallenge Pattern (schema:Event → description, schema:organizer)",False,Emma,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-E18,,How did [Event] influence future benefit concerts?,[Event] set the standard for global fundraising concerts and inspired events like Live 8 and Global Citizen.,Live Aid set the standard for global fundraising concerts and inspired events like Live 8 and Global Citizen.,Wikipedia / BBC / Music Critics,Event–Legacy Influence Pattern (schema:Event → relatedEvent),False,Emma,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-E19,,What were the reactions of the audience or media to [MusicGroup]’s performance at [Event]?,[MusicGroup]’s performance was widely acclaimed by critics and praised by audiences for its energy and charisma.,Queen’s performance was widely acclaimed by critics and praised by audiences for its energy and charisma.,Rolling Stone / BBC / Fan Commentary,"Artist–Reception Pattern (schema:review, schema:comment)",True,Emma,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-E20,,How much money was raised by [Event]?,[Event] raised over $125 million for famine relief efforts.,Live Aid raised over $125 million for famine relief efforts.,Wikipedia / BBC / Event archives,Event–Outcome (schema:Event → MonetaryAmount),False,Emma,Exit,"Legacy, Audience Reflection"
CQ-E21,,Which organization archived the broadcast of [Event]?,Organization archived the Wembley broadcast of [Event].,The BBC archived the Wembley broadcast of Live Aid.,BBC Archives / Wikipedia,"Event–Archive (schema:BroadcastEvent, schema:provider)",False,Emma,Exit,"Legacy, Audience Reflection"
